t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Fault_Type
12.703114238879165,12.481442313003162,11.374953889154073,2275.99804750525,3.973004067264208,943.8382218778568,298.85062928351385,1.2163407480269894,506.5022738138305,506.4869669490654,-0.3938461971959741,299.1991397977484,0.0895634526721188,34.94641868041901,34.95448373052737,0.0833709364983552,541.4558172258261,541.4560286428568,-0.3105020693786448,4
12.954415616714304,12.50039042978526,11.20712979680167,2275.990019742043,4.072726297928384,970.0582608630608,298.861079857784,1.242503000080869,515.5285184810101,515.5160640041029,-0.4285952165727352,299.2615820493497,0.0751255969999397,36.645551753703245,36.63911232728233,0.4436422275958852,552.1485035400481,552.1414152897983,0.0037116622787884,4
13.18698136591907,12.500775503233784,10.87830659170484,2275.9814179153504,4.122059788133005,979.579875615395,298.9202102507798,1.239995484095173,516.310601208815,516.3131975754345,-3.4207818320377124,299.25161662221086,0.0799064434624004,36.182270982411545,36.19079219621222,0.4974186121126275,552.5224413069525,552.5139072375335,-2.930612802770931,4
13.44948067890708,12.495003932620705,10.54950232651388,2277.003054699917,4.126420279584004,982.4004576994216,298.7728753632107,1.2422079707877285,518.5052717831813,518.5203706495896,1.3104166523034684,299.1627300593306,0.0767372713584289,36.5630376400952,36.5552084517376,0.730059707062238,555.0656177287423,555.0721567386605,2.06246311434914,4
13.70840704068482,12.49980977551015,10.406058396748694,2276.9989826165324,4.158134164769075,996.7076014611608,298.90006492483127,1.2302279154904776,518.6424889211628,518.648226405207,1.762983930773738,299.2900528331859,0.0983483897070889,37.80212110493173,37.81155085184623,0.4433488174130524,556.438737286021,556.4258543192539,2.198179157795182,4
13.954579122821452,12.503896676048551,10.09753697095498,2275.99821215263,4.136149415892795,986.7153593025122,298.5472247581585,1.2956682307374556,528.3334100108888,528.313002218836,-0.3454214860919454,298.8653149355433,0.074322962721935,39.52271911864111,39.486196157406944,0.4328410310684982,567.8103871770883,567.8269166721296,0.0967526564449396,4
14.2072909550983,12.513972709632917,9.911006342497435,2275.9800341521764,4.191459719156947,1003.412898110186,298.9048381562909,1.300247750515679,536.148229732585,536.1212243905501,-2.20467760907054,299.21820441512995,0.0686507901195284,38.68545268038534,38.6833936316637,0.4054297810521695,574.80987212607,574.8153288852753,-1.766463518975527,4
14.452347488099456,12.499130232024187,9.606655110550667,2276.014914672264,4.228107685275195,1008.1794638291832,298.37672514852744,1.2971503319049589,536.6729020177258,536.6480580542101,3.401968634708755,298.71699745587955,0.0709717808619827,39.83815588413538,39.82399704719459,0.4283588294968231,576.4924584979112,576.4854191899561,3.8073350725333697,4
14.686659432579226,12.506272785766138,9.442702363939343,2274.982200363202,4.252099677316953,1017.2697340817108,298.4253622772723,1.3038554964400717,540.3201873201647,540.324050224978,2.9084990231778947,298.73550589383404,0.097527098942837,41.41009089900725,41.42100285647849,0.7226925356664021,581.7433894760806,581.7263081096178,3.625895611121609,4
14.955816744942323,12.491494005412594,9.118619686208143,2274.0011544290105,4.312324521883019,1028.7409642511425,298.4845268570182,1.291551331933785,539.36382183255,539.3666230370322,1.7499340777075694,298.8079576203287,0.0857811947633617,39.90606034349407,39.87822747139684,0.4215929014080087,579.2497645111638,579.2351356729415,2.1751077545516897,4
