t/s,UL1-N [V],UL2-N [V],UL3-N [V],UL1-L2 [V],UL2-L3 [V],UL3-L1 [V],I1 [A],I2 [A],I3 [A],IN [A],S1 [VA],S2 [VA],S3 [VA],P1 [W],P2 [W],P3 [W],Q1 [var],Q2 [var],Q3 [var],cos ?1,cos ?2,cos ?3,UTHD1 [%],UTHD2 [%],UTHD3 [%],f [Hz],[V],[V],[A],?S [VA],?P [W],?Q [var],cos ?,Label
1,119.23,120.502,118.62,208.207,207.219,205.254,1.06897,0.940262,0.760871,0.245131,127.453,113.304,90.2547,-115.981,-104.709,-82.0521,46.2092,35.0617,30.2284,0.909993,0.924148,0.909117,1.82702,2.0422,1.72374,60.0312,119.451,206.893,0.923367,331.011,-302.743,111.499,0.914599,0
1.032,119.23,120.502,118.62,208.207,207.219,205.254,1.06897,0.940262,0.760871,0.245131,127.453,113.304,90.2547,-115.981,-104.709,-82.0521,46.2092,35.0617,30.2284,0.909993,0.924148,0.909117,1.82702,2.0422,1.72374,60.0312,119.451,206.893,0.923367,331.011,-302.743,111.499,0.914599,0
1.047,119.23,120.502,118.62,208.207,207.219,205.254,1.06897,0.940262,0.760871,0.245131,127.453,113.304,90.2547,-115.981,-104.709,-82.0521,46.2092,35.0617,30.2284,0.909993,0.924148,0.909117,1.82702,2.0422,1.72374,60.0312,119.451,206.893,0.923367,331.011,-302.743,111.499,0.914599,0
1.063,119.23,120.502,118.62,208.207,207.219,205.254,1.06897,0.940262,0.760871,0.245131,127.453,113.304,90.2547,-115.981,-104.709,-82.0521,46.2092,35.0617,30.2284,0.909993,0.924148,0.909117,1.82702,2.0422,1.72374,60.0312,119.451,206.893,0.923367,331.011,-302.743,111.499,0.914599,0
1.094,119.23,120.502,118.62,208.207,207.219,205.254,1.06897,0.940262,0.760871,0.245131,127.453,113.304,90.2547,-115.981,-104.709,-82.0521,46.2092,35.0617,30.2284,0.909993,0.924148,0.909117,1.82702,2.0422,1.72374,60.0312,119.451,206.893,0.923367,331.011,-302.743,111.499,0.914599,0
1.11,119.23,120.502,118.62,208.207,207.219,205.254,1.06897,0.940262,0.760871,0.245131,127.453,113.304,90.2547,-115.981,-104.709,-82.0521,46.2092,35.0617,30.2284,0.909993,0.924148,0.909117,1.82702,2.0422,1.72374,60.0312,119.451,206.893,0.923367,331.011,-302.743,111.499,0.914599,0
1.125,119.23,120.502,118.62,208.207,207.219,205.254,1.06897,0.940262,0.760871,0.245131,127.453,113.304,90.2547,-115.981,-104.709,-82.0521,46.2092,35.0617,30.2284,0.909993,0.924148,0.909117,1.82702,2.0422,1.72374,60.0312,119.451,206.893,0.923367,331.011,-302.743,111.499,0.914599,0
1.141,119.23,120.502,118.62,208.207,207.219,205.254,1.06897,0.940262,0.760871,0.245131,127.453,113.304,90.2547,-115.981,-104.709,-82.0521,46.2092,35.0617,30.2284,0.909993,0.924148,0.909117,1.82702,2.0422,1.72374,60.0312,119.451,206.893,0.923367,331.011,-302.743,111.499,0.914599,0
1.172,119.211,120.467,118.647,208.137,207.238,205.256,1.06948,0.939677,0.762616,0.247673,127.493,113.2,90.4817,-115.924,-104.533,-82.3147,46.3989,35.4803,30.2119,0.909258,0.923437,0.909739,1.83097,1.99976,1.69495,60.0312,119.442,206.877,0.923923,331.175,-302.772,112.091,0.914236,0
1.188,119.211,120.467,118.647,208.137,207.238,205.256,1.06948,0.939677,0.762616,0.247673,127.493,113.2,90.4817,-115.924,-104.533,-82.3147,46.3989,35.4803,30.2119,0.909258,0.923437,0.909739,1.83097,1.99976,1.69495,60.0312,119.442,206.877,0.923923,331.175,-302.772,112.091,0.914236,0
