t/s,UL1-N [V],UL2-N [V],UL3-N [V],UL1-L2 [V],UL2-L3 [V],UL3-L1 [V],I1 [A],I2 [A],I3 [A],IN [A],S1 [VA],S2 [VA],S3 [VA],P1 [W],P2 [W],P3 [W],Q1 [var],Q2 [var],Q3 [var],cos ?1,cos ?2,cos ?3,UTHD1 [%],UTHD2 [%],UTHD3 [%],f [Hz], [V], [V]2, [A],?S [VA],?P [W],?Q [var],cos ?,Label
0.625,119.992,121.336,119.859,209.273,209.213,207.101,1.34782,1.23444,1.13918,0.279485,161.727,149.781,136.541,-153.323,-140.359,-130.542,41.7981,42.4546,29.5697,0.948033,0.937095,0.956069,1.61505,1.76493,1.42549,59.9824,120.395,208.529,1.24048,448.049,-424.225,113.822,0.946825,0
0.641,120.003,121.278,119.849,209.204,209.124,207.162,1.35325,1.22727,1.13047,0.279485,162.394,148.841,135.486,-154.09,-139.637,-129.578,41.8354,41.3476,28.6939,0.948866,0.938161,0.956392,1.57114,1.75864,1.39815,59.9824,120.377,208.496,1.237,446.721,-423.305,111.877,0.947582,0
0.672,120.003,121.278,119.849,209.204,209.124,207.162,1.35325,1.22727,1.13047,0.279485,162.394,148.841,135.486,-154.09,-139.637,-129.578,41.8354,41.3476,28.6939,0.948866,0.938161,0.956392,1.57114,1.75864,1.39815,59.9824,120.377,208.496,1.237,446.721,-423.305,111.877,0.947582,0
0.687,120.003,121.278,119.849,209.204,209.124,207.162,1.35325,1.22727,1.13047,0.279485,162.394,148.841,135.486,-154.09,-139.637,-129.578,41.8354,41.3476,28.6939,0.948866,0.938161,0.956392,1.57114,1.75864,1.39815,59.9824,120.377,208.496,1.237,446.721,-423.305,111.877,0.947582,0
0.703,120.003,121.278,119.849,209.204,209.124,207.162,1.35325,1.22727,1.13047,0.279485,162.394,148.841,135.486,-154.09,-139.637,-129.578,41.8354,41.3476,28.6939,0.948866,0.938161,0.956392,1.57114,1.75864,1.39815,59.9824,120.377,208.496,1.237,446.721,-423.305,111.877,0.947582,0
0.734,120.003,121.278,119.849,209.204,209.124,207.162,1.35325,1.22727,1.13047,0.279485,162.394,148.841,135.486,-154.09,-139.637,-129.578,41.8354,41.3476,28.6939,0.948866,0.938161,0.956392,1.57114,1.75864,1.39815,59.9824,120.377,208.496,1.237,446.721,-423.305,111.877,0.947582,0
0.75,120.003,121.278,119.849,209.204,209.124,207.162,1.35325,1.22727,1.13047,0.279485,162.394,148.841,135.486,-154.09,-139.637,-129.578,41.8354,41.3476,28.6939,0.948866,0.938161,0.956392,1.57114,1.75864,1.39815,59.9824,120.377,208.496,1.237,446.721,-423.305,111.877,0.947582,0
0.766,120.003,121.278,119.849,209.204,209.124,207.162,1.35325,1.22727,1.13047,0.279485,162.394,148.841,135.486,-154.09,-139.637,-129.578,41.8354,41.3476,28.6939,0.948866,0.938161,0.956392,1.57114,1.75864,1.39815,59.9824,120.377,208.496,1.237,446.721,-423.305,111.877,0.947582,0
0.781,120.003,121.278,119.849,209.204,209.124,207.162,1.35325,1.22727,1.13047,0.279485,162.394,148.841,135.486,-154.09,-139.637,-129.578,41.8354,41.3476,28.6939,0.948866,0.938161,0.956392,1.57114,1.75864,1.39815,59.9824,120.377,208.496,1.237,446.721,-423.305,111.877,0.947582,0
0.812,120.003,121.278,119.849,209.204,209.124,207.162,1.35325,1.22727,1.13047,0.279485,162.394,148.841,135.486,-154.09,-139.637,-129.578,41.8354,41.3476,28.6939,0.948866,0.938161,0.956392,1.57114,1.75864,1.39815,59.9824,120.377,208.496,1.237,446.721,-423.305,111.877,0.947582,0
0.828,119.957,121.271,119.876,209.139,209.173,207.133,1.34684,1.2314,1.14283,0.272431,161.563,149.333,136.997,-153.076,-139.717,-130.745,42.4122,43.2333,29.8326,0.94747,0.935602,0.954357,1.52118,1.67434,1.39545,59.9824,120.368,208.481,1.24036,447.894,-423.537,115.478,0.94562,0
0.844,119.957,121.271,119.876,209.139,209.173,207.133,1.34684,1.2314,1.14283,0.272431,161.563,149.333,136.997,-153.076,-139.717,-130.745,42.4122,43.2333,29.8326,0.94747,0.935602,0.954357,1.52118,1.67434,1.39545,59.9824,120.368,208.481,1.24036,447.894,-423.537,115.478,0.94562,0
0.875,119.957,121.271,119.876,209.139,209.173,207.133,1.34684,1.2314,1.14283,0.272431,161.563,149.333,136.997,-153.076,-139.717,-130.745,42.4122,43.2333,29.8326,0.94747,0.935602,0.954357,1.52118,1.67434,1.39545,59.9824,120.368,208.481,1.24036,447.894,-423.537,115.478,0.94562,0
0.891,119.957,121.271,119.876,209.139,209.173,207.133,1.34684,1.2314,1.14283,0.272431,161.563,149.333,136.997,-153.076,-139.717,-130.745,42.4122,43.2333,29.8326,0.94747,0.935602,0.954357,1.52118,1.67434,1.39545,59.9824,120.368,208.481,1.24036,447.894,-423.537,115.478,0.94562,0
0.906,119.957,121.271,119.876,209.139,209.173,207.133,1.34684,1.2314,1.14283,0.272431,161.563,149.333,136.997,-153.076,-139.717,-130.745,42.4122,43.2333,29.8326,0.94747,0.935602,0.954357,1.52118,1.67434,1.39545,59.9824,120.368,208.481,1.24036,447.894,-423.537,115.478,0.94562,0
0.922,119.957,121.271,119.876,209.139,209.173,207.133,1.34684,1.2314,1.14283,0.272431,161.563,149.333,136.997,-153.076,-139.717,-130.745,42.4122,43.2333,29.8326,0.94747,0.935602,0.954357,1.52118,1.67434,1.39545,59.9824,120.368,208.481,1.24036,447.894,-423.537,115.478,0.94562,0
0.953,119.957,121.271,119.876,209.139,209.173,207.133,1.34684,1.2314,1.14283,0.272431,161.563,149.333,136.997,-153.076,-139.717,-130.745,42.4122,43.2333,29.8326,0.94747,0.935602,0.954357,1.52118,1.67434,1.39545,59.9824,120.368,208.481,1.24036,447.894,-423.537,115.478,0.94562,0
